system:index,area_m2,chunk_id,confiden_1,confiden_2,confidence,field_id,label,mean,perimeter_,shape_inde,size_class,time,.geo
00000000000000000020,1537.0283912336597,N24E091,0.430678933858871,0.430678933858871,0.430678933858871,33,field,0.4114547531257888,192.08779981022144,1.382145949312609,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.69535767909606,24.70903382137398],[91.69535767909606,24.70876629998137],[91.69553606895394,24.70876628723995],[91.69553606895394,24.70885549124086],[91.69562522707031,24.708855485201845],[91.69562522707031,24.70912744405849],[91.69553606895394,24.70912745010639],[91.69553606895394,24.709305857910383],[91.69535767909606,24.709305870687082],[91.69535767909606,24.709216666790127],[91.69526852152913,24.70921667267644],[91.69526852152913,24.709033827254324],[91.69535767909606,24.70903382137398]]]}"
00000000000000000021,3067.2231338417882,N24E091,0.4788618683815,0.4788618683815,0.4788618683815,34,field,0.44307182325324423,280.84449064073505,1.430501412996269,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.87834134603081,24.97619199600607],[91.87834134603081,24.976102775746803],[91.87888092256674,24.976102788316524],[91.87888092256674,24.976192008556264],[91.87906378718088,24.97619197456242],[91.87906378718088,24.976285628635672],[91.87915294792197,24.976285594833985],[91.87915294792197,24.976463944686394],[91.87852420840366,24.976463966692343],[91.87852420840366,24.976553186849372],[91.87843504893594,24.97655312978258],[91.87843504893594,24.976464000109306],[91.87834134603081,24.97646400001785],[91.87834134603081,24.976285650106757],[91.87825218693344,24.976285592916483],[91.87825218693344,24.976191938812384],[91.87834134603081,24.97619199600607]]]}"
00000000000000000024,3611.5135145753484,N24E091,0.443901389837265,0.443901389837265,0.443901389837265,37,field,0.04143946558226788,342.43169185161656,1.607401604011984,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.95020869516391,24.8660610898067],[91.95020869516391,24.86578909673361],[91.95029792511178,24.865789114217517],[91.95029792511178,24.865699867861792],[91.95047623633248,24.86569990460862],[91.95047623633248,24.865789060444108],[91.95056986866277,24.865789111081394],[91.95056986866277,24.86588270205203],[91.95074825558677,24.865882737477857],[91.95074825558677,24.86597189325634],[91.9508374120144,24.865971911367545],[91.9508374120144,24.866150313362784],[91.95074825558677,24.8661502952583],[91.95074825558677,24.86623945096832],[91.95038708063234,24.86623943713788],[91.95038708063234,24.86632859283867],[91.95029792511178,24.866328664974617],[91.95029792511178,24.86641782065592],[91.95038708063234,24.866417839030003],[91.95038708063234,24.866511429838955],[91.95020869516391,24.866511484525038],[91.95020869516391,24.866328647511036],[91.95011954000265,24.86632862902281],[91.95011954000265,24.866061071308415],[91.95020869516391,24.8660610898067]]]}"
00000000000000000026,1534.9689063839055,N24E091,0.450876742601395,0.450876742601395,0.450876742601395,39,field,0.13512991398603524,170.34805891620275,1.22654211807857,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.90412386486456,24.86282823525992],[91.90412386486456,24.863184958803345],[91.9039455170145,24.863184957709514],[91.9039455170145,24.863095799480316],[91.90367795932735,24.86309575262928],[91.90367795932735,24.862828277775442],[91.90412386486456,24.86282823525992]]]}"
0000000000000000002b,1626.4500485321762,N24E091,0.444479137659073,0.444479137659073,0.444479137659073,44,field,-0.09919092694814141,190.31101132147506,1.331185628185224,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.79767625286232,24.77811423808979],[91.79767625286232,24.778025054598192],[91.79785461589977,24.778025097321397],[91.79785461589977,24.77838626766467],[91.79767625286232,24.778386224966546],[91.79767625286232,24.778475408368166],[91.7974934296448,24.77847541872739],[91.7974934296448,24.778297051889258],[91.79740421159724,24.778297030785463],[91.79740421159724,24.778114227313207],[91.79767625286232,24.77811423808979]]]}"
0000000000000000002c,2714.525451129712,N24E091,0.520457804203033,0.520457804203033,0.520457804203033,45,field,-0.031246310441264868,304.7000617585767,1.649759550868295,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.72643764002162,24.60644776558392],[91.72643764002162,24.606536902510964],[91.72679883243619,24.606536947628562],[91.72679883243619,24.606808978144837],[91.72670961035666,24.606808909382337],[91.72670961035666,24.60689813680146],[91.72662046268786,24.60689815772631],[91.72662046268786,24.60671979344735],[91.72652678731592,24.60671977539424],[91.72652678731592,24.606808912254234],[91.72643764002162,24.60680893306399],[91.72643764002162,24.606987297313122],[91.72625927175369,24.60698733962738],[91.72625927175369,24.60689811221428],[91.7261701250074,24.60689813286293],[91.7261701250074,24.606536965431882],[91.72608090421686,24.606536986860643],[91.72608090421686,24.6064477593354],[91.72643764002162,24.60644776558392]]]}"
0000000000000000002e,2080.6083393765957,N24E091,0.478382557630539,0.478382557630539,0.478382557630539,47,field,-0.06029483328452546,288.1878210490796,1.782278318574185,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.73488317119136,24.638517622514314],[91.73488317119136,24.638339273770104],[91.7349723357823,24.638339246725916],[91.7349723357823,24.638067239827485],[91.735061574798,24.638067211885435],[91.735061574798,24.63797808271189],[91.73515073975425,24.63797805557021],[91.73515073975425,24.638067275319194],[91.73524435944266,24.638067287561263],[91.73524435944266,24.63825007475084],[91.73515073975425,24.6382500625152],[91.73515073975425,24.638339282199382],[91.735061574798,24.638339218774778],[91.735061574798,24.6384284384407],[91.73515073975425,24.638428411283975],[91.73515073975425,24.638695979566993],[91.735061574798,24.638696006732662],[91.735061574798,24.6387896646475],[91.73488317119136,24.63878962909469],[91.73488317119136,24.638606842143705],[91.73479400678298,24.638606778563783],[91.73479400678298,24.6385176495097],[91.73488317119136,24.638517622514314]]]}"
0000000000000000002f,1897.7687077653916,N24E091,0.453545719385147,0.453545719385147,0.453545719385147,48,field,0.252651000815212,259.541882054551,1.680663920197835,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.95559974530676,24.750628301124998],[91.95559974530676,24.750717485695503],[91.95613929681913,24.750717542451543],[91.95613929681913,24.750806726979643],[91.95631770618493,24.750806673634916],[91.95631770618493,24.750895858134285],[91.95541693650807,24.750895873837212],[91.95541693650807,24.750717504748494],[91.95532777085765,24.75071748513167],[91.95532777085765,24.75062830055092],[91.95559974530676,24.750628301124998]]]}"
00000000000000000030,4600.148215962791,N24E091,0.468918085098267,0.468918085098267,0.468918085098267,49,field,-0.10832256649855325,423.6235594875384,1.761932476292068,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.85893983267304,24.996766248439105],[91.85893983267304,24.996405043166423],[91.85902902708932,24.99640511071781],[91.85902902708932,24.99622667951897],[91.85893983267304,24.996226702443543],[91.85893983267304,24.99595471229983],[91.859479394648,24.995954700325306],[91.859479394648,24.99622669041013],[91.8593901993179,24.99622671361506],[91.8593901993179,24.99685547496775],[91.85930100416877,24.99685540765743],[91.85930100416877,24.996944623091547],[91.85920734201167,24.99694461126529],[91.85920734201167,24.996677055363822],[91.85902902708932,24.99667710048614],[91.85902902708932,24.996944656406708],[91.85885063843774,24.99694461176946],[91.85885063843774,24.996766271327434],[91.85893983267304,24.996766248439105]]]}"
00000000000000000031,1990.2839543354744,N24E091,0.533335626125336,0.533335626125336,0.533335626125336,50,field,0.010668563791402868,206.89796997966255,1.308259137199315,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.70173425498386,24.632319513551092],[91.70173425498386,24.632230291324966],[91.70191704798927,24.632230317071993],[91.70191704798927,24.632319448711193],[91.70200621920695,24.63231944125999],[91.70200621920695,24.63249779504987],[91.70191704798927,24.63249780250693],[91.70191704798927,24.632591463125486],[91.70137749926002,24.6325914670823],[91.70137749926002,24.63231945261395],[91.70173425498386,24.632319513551092]]]}"
