field_id,area_m2,perimeter_m,shape_index,size_class
179,6035.639517376387,544.8509326391413,1.9783864093239822,very_large
180,9921.116614731722,740.676761003662,2.0977006341191764,very_large
181,35787.68508368015,1850.1421972198552,2.7588835704325243,very_large
182,10672.704250710894,900.2122166347251,2.45811803333323,very_large
183,5771.392421090825,380.25958958852675,1.4120007933076664,very_large
184,19428.068634604522,1408.3344400703536,2.850270338435906,very_large
185,13843.75014559862,972.0741405688995,2.33059913964266,very_large
186,24709.387071847832,1725.7846920669456,3.097067665861002,very_large
187,5409.996996665578,544.7388859046977,2.0892236540772786,very_large
188,6322.992562635114,420.3578083984521,1.4912582235656295,very_large
189,12624.706816627773,840.0939602427156,2.1091733718143666,very_large
190,8385.283357345412,751.2017705621492,2.314156892410579,very_large
191,6575.379766285167,343.83217927428007,1.1961376688635623,very_large
192,7753.289031854369,939.5025261356897,3.0098859040493577,very_large
193,8656.016649169753,659.2211452421918,1.9987899440234753,very_large
194,12016.361247444098,833.860831637425,2.1458638051935743,very_large
195,11639.385980482355,940.3721230701949,2.458837222724758,very_large
196,7752.030206161399,593.7267450157337,1.902277856125351,very_large
197,6587.962133196424,632.0339956296884,2.1966454210588435,very_large
198,9859.02504286474,624.045726625554,1.7729418707005795,very_large
199,5598.69446115622,441.9380889864537,1.6661462413467345,very_large
200,56407.83099823337,2660.516785405686,3.1600312032041837,very_large
